Место;Название;Начало;Конец;Адрес;Возраст
1. Алтайский государственный краеведческий музей.; Открытие Всероссийской акции «Ночь музеев2022».;19:00;21:00;г.Барнаул,пр.Красноармейский,28,ул.Ползунова,39.;6
1. Алтайский государственный краеведческий музей.; Мастеркласс «Он красив на виднопредставьтеядовит» по изготовлению ландыша из фоамирана.;19:00;19:40;г.Барнаул,пр.Красноармейский,28,ул.Ползунова,39.;6
1. Алтайский государственный краеведческий музей.; Мастеркласс «Ожившая игрушка» в стиле «Богородская игрушка».;19:00;20:00;г.Барнаул,пр.Красноармейский,28,ул.Ползунова,39.;6
1. Алтайский государственный краеведческий музей.; Мастеркласс «Ожившая игрушка» в стиле «Богородская игрушка».;21:30;22:30;г.Барнаул,пр.Красноармейский,28,ул.Ползунова,39.;6
1. Алтайский государственный краеведческий музей.; Мастеркласс «Птичкилистикицветочки»  по домовой росписи от народного мастера Алтайского края Е.Леонтьевой.;19:00;21:00;г.Барнаул,пр.Красноармейский,28,ул.Ползунова,39.;6
1. Алтайский государственный краеведческий музей.; Мастеркласс «Шумелкамышь» по плетению из рогоза от народного мастера Алтайского края В.Волеговой.;19:00;21:00;г.Барнаул,пр.Красноармейский,28,ул.Ползунова,39.;6
1. Алтайский государственный краеведческий музей.; «ИГРОВЕСТ.Играем в настольную игру «Аналитикисследователь» (версии истории Колыванской вазы). ;20:00;20:40;г.Барнаул,пр.Красноармейский,28,ул.Ползунова,39.;6
1. Алтайский государственный краеведческий музей.; Интерактивная программа «Из России с любовью» по сборкеразборке автомата Калашникова.;20:30;21:00;г.Барнаул,пр.Красноармейский,28,ул.Ползунова,39.;6
1. Алтайский государственный краеведческий музей.; Музейная программа «Я REставратор».;21:30;22:00;г.Барнаул,пр.Красноармейский,28,ул.Ползунова,39.;6
1. Алтайский государственный краеведческий музей.; Игра в бирюльки для взрослых и детей.;21:30;22:00;г.Барнаул,пр.Красноармейский,28,ул.Ползунова,39.;6
1. Алтайский государственный краеведческий музей.; Настольная историческая игра «Хнефатафл» для взрослых и детей.;22:00;22:30;г.Барнаул,пр.Красноармейский,28,ул.Ползунова,39.;6
